date,time,signal_id,symbol,direction,entry_low,entry_high,sl,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,description
2026-03-22,19:32,2095,ALGOUSDT,LONG,0.0844,0.0850,0.0775,0.0890,0.0950,0.1020,0.1100,0.1190,0.1300,,,Support cluster at entry zone.
2026-03-24,06:18,2096,AVAXUSDT,LONG,9.30,9.35,8.50,9.75,10.25,10.85,11.50,12.25,13.10,14.00,15.00,Support cluster at entry zone plus an ascending trend line and a 6h FVG..
2026-03-24,22:55,2097,ONDOUSDT,LONG,0.2440,0.2450,0.2250,0.2550,0.2650,0.2775,0.2925,0.3100,0.3300,0.3600,0.4000,Support cluster at entry zone.
2026-03-25,21:13,2098,DOTUSDT,LONG,1.340,1.350,1.215,1.400,1.475,1.550,1.650,1.800,1.950,2.150,2.350,Support cluster at entry zone plus a 4h FVG.
2026-03-25,22:07,2099,ENAUSDT,LONG,0.0965,0.0975,0.0900,0.1010,0.1050,0.1100,0.1175,0.1275,0.1375,0.1500,,4H FVG reinforcing a strong support cluster at entry.
2026-03-27,22:41,2100,APTUSDT,LONG,0.940,0.950,0.850,1.000,1.075,1.150,1.250,1.375,1.500,1.650,,An ascending trendline reinforcing a strong support cluster at entry zone.
2026-03-28,08:04,2101,XLMUSDT,LONG,0.1625,0.1635,0.1500,0.1700,0.1775,0.1875,0.2000,0.2150,0.2300,0.2500,,An ascending trendline reinforcing a strong support cluster at entry zone.
2026-03-29,18:16,2102,XRPUSDT,LONG,1.3200,1.3250,1.2000,1.3750,1.4500,1.5500,1.6500,1.7500,1.8750,2.0000,,Strong support cluster at entry zone.
2026-03-31,15:47,2103,TONUSDT,LONG,1.190,1.200,1.100,1.250,1.300,1.375,1.500,1.650,1.800,2.000,,Strong support cluster at entry zone.
2026-04-02,02:19,2104,SOLUSDT,LONG,80.90,81.00,73.00,85.00,90.00,97.50,105.00,115.00,125.00,135.00,150.00,Entry sits at ascending channel support backed by structural confluence.
2026-04-02,21:28,2105,ARBUSDT,LONG,0.0896,0.0900,0.0825,0.0930,0.0975,0.1030,0.1100,0.1175,0.1250,0.1325,0.1400,Strong support cluster at entry zone.
2026-04-04,07:14,2106,APTUSDT,LONG,0.794,0.800,0.725,0.835,0.875,0.925,1.000,1.075,1.150,1.250,,Strong support at entry zone.
2026-04-04,17:17,2107,XTZUSDT,LONG,0.338,0.340,0.310,0.355,0.375,0.400,0.425,0.450,0.475,0.500,,Strong support cluster at entry zone.
2026-04-06,22:22,2108,ADAUSDT,LONG,0.2490,0.2500,0.2250,0.2600,0.2750,0.2900,0.3050,0.3250,0.3500,0.3750,0.4000,Strong support cluster at entry zone plus a 4h FVG and an ascending trendline.
2026-04-07,16:35,2109,DASHUSDT,LONG,29.90,30.00,27.50,31.25,32.50,34.00,35.50,37.00,39.00,42.00,45.00,Strong support cluster at entry zone plus an ascending trendline.
2026-04-08,18:11,2110,ICPUSDT,LONG,2.440,2.450,2.250,2.550,2.650,2.775,2.900,3.050,3.250,3.500,4.000,Strong support cluster at entry zone plus an ascending trendline and a 4h FVG.
2026-04-09,21:20,2111,WLDUSDT,LONG,0.2580,0.2600,0.2350,0.2700,0.2800,0.2950,0.3100,0.3300,0.3500,0.3750,0.4000,Strong support cluster at entry zone and a 4h FVG aditionally.
2026-04-11,06:18,2112,WLFIUSDT,LONG,0.0790,0.0800,0.0725,0.0830,0.0875,0.0925,0.0975,0.1050,0.1125,0.1200,0.1300,Strong support cluster at entry zone.
2026-04-13,15:58,2113,RENDERUSDT,LONG,1.840,1.850,1.675,1.925,2.000,2.100,2.200,2.350,2.500,2.700,3.000,Strong support cluster at entry zone plus an ascending trendline.
2026-04-13,17:22,2114,ASTERUSDT,LONG,0.646,0.650,0.600,0.675,0.700,0.735,0.780,0.835,0.900,1.000,,Strong support cluster at entry zone.
2026-04-15,02:33,2115,AVAXUSDT,LONG,9.05,9.15,8.35,9.50,10.00,10.50,11.25,12.00,12.75,13.75,15.00,Strong support cluster at entry zone with a 4h FVG and an ascending trendline.
2026-04-16,07:33,2116,CHZUSDT,LONG,0.0418,0.0420,0.0380,0.0440,0.0460,0.0480,0.0510,0.0540,0.0575,0.0610,0.0650,Strong support cluster at entry zone with a 4h FVG additionally.
2026-04-19,00:37,2117,DOTUSDT,LONG,1.240,1.250,1.150,1.300,1.350,1.425,1.500,1.600,1.700,1.850,2.000,Strong demand zone confluence at entry with a 4H FVG sitting directly below price.
2026-04-21,06:54,2118,UNIUSDT,LONG,3.180,3.200,2.900,3.350,3.500,3.700,3.900,4.100,4.350,4.650,5.000,"Strong demand zone confluence at entry with an ascending and also, a descending trendline sitting directly below price."
2026-04-23,06:06,2119,BCHUSDT,LONG,450,455,410,475,500,525,560,600,650,700,750,8H FVG confluent with a key support-resistance flip at entry.
2026-04-25,06:25,2120,TAOUSDT,LONG,243,245,225,255,265,280,295,315,335,355,375,Price consolidating above a strong 4H support cluster at entry.
2026-04-25,06:37,2121,XLMUSDT,LONG,0.1715,0.1725,0.1575,0.1800,0.1875,0.1950,0.2050,0.2150,0.2250,0.2375,0.2500,4H resistance flipping into support at entry with a strong FVG cluster directly below acting as confluence.
2026-04-27,03:55,2122,JUPUSDT,LONG,0.1790,0.1800,0.1650,0.1875,0.1950,0.2050,0.2150,0.2300,0.2500,0.2750,0.3000,8H FVG confluent with ascending trendline support at entry.
